length_m,diameter_mm,installation_type,insulation_material,year_of_operation,pipeline_replacement
153.5,100,underground,polyurethane_foam,2000,no
145.5,200,above_ground,polyurethane_foam,2005,yes
311.8,250,above_ground,mineral_wool,1996,yes
197.0,250,in_channel,mineral_wool,1994,no
93.4,250,underground,polyurethane_foam,1984,no
176.6,300,in_channel,mineral_wool,1989,no
145.3,100,in_channel,mineral_wool,2015,no
299.5,200,in_channel,foam_glass,1998,yes
310.5,150,underground,foam_glass,1985,yes
318.5,250,above_ground,polyurethane_foam,1999,yes
81.8,250,underground,polyurethane_foam,2005,no
446.4,250,above_ground,mineral_wool,1997,yes
380.8,200,above_ground,polyurethane_foam,1981,yes
438.2,250,in_channel,foam_glass,2001,no
314.1,150,underground,polyurethane_foam,2022,no
57.0,150,above_ground,polyurethane_foam,1985,no
279.9,250,underground,foam_glass,2000,no
370.0,300,in_channel,polyurethane_foam,2012,no
130.2,200,underground,foam_glass,2009,no
328.9,250,in_channel,mineral_wool,2015,yes
457.2,150,in_channel,polyurethane_foam,2022,no
52.1,100,in_channel,foam_glass,2005,no
102.8,100,above_ground,foam_glass,2007,no
413.0,250,underground,polyurethane_foam,2017,no
299.1,250,above_ground,mineral_wool,1984,yes
234.8,200,in_channel,polyurethane_foam,1988,yes
193.1,300,underground,mineral_wool,2011,no
156.1,200,in_channel,foam_glass,2014,no
422.6,250,above_ground,foam_glass,1983,yes
70.8,300,above_ground,foam_glass,2013,no
239.6,250,underground,foam_glass,2018,no
451.1,150,in_channel,foam_glass,2006,no
179.5,250,above_ground,foam_glass,1980,yes
290.1,200,underground,polyurethane_foam,2017,no
319.8,250,underground,foam_glass,1997,yes
445.2,250,underground,mineral_wool,2018,no
107.3,200,above_ground,mineral_wool,1995,no
94.6,250,above_ground,polyurethane_foam,2022,no
215.2,300,underground,polyurethane_foam,2018,yes
180.9,100,in_channel,mineral_wool,2019,no
121.7,150,in_channel,foam_glass,1984,no
377.2,200,underground,mineral_wool,1988,yes
287.3,150,above_ground,mineral_wool,1995,yes
470.8,150,in_channel,foam_glass,1992,yes
165.1,100,above_ground,foam_glass,1985,yes
282.4,300,in_channel,foam_glass,1999,yes
473.2,150,in_channel,mineral_wool,1999,yes
167.2,150,underground,polyurethane_foam,1994,no
327.9,100,underground,polyurethane_foam,2021,no
388.0,200,above_ground,mineral_wool,2012,no
344.9,100,above_ground,foam_glass,2022,no
482.7,200,above_ground,polyurethane_foam,1985,yes
364.2,200,above_ground,mineral_wool,1997,yes
163.3,200,in_channel,polyurethane_foam,1988,no
251.3,200,above_ground,polyurethane_foam,1981,yes
266.0,300,underground,mineral_wool,2009,no
364.8,250,in_channel,mineral_wool,2012,yes
298.2,200,underground,mineral_wool,2004,no
202.0,100,above_ground,foam_glass,2000,no
237.0,300,in_channel,polyurethane_foam,2014,yes
363.7,150,underground,polyurethane_foam,2016,yes
285.6,100,in_channel,mineral_wool,1998,no
148.3,300,in_channel,foam_glass,1985,yes
394.5,300,in_channel,polyurethane_foam,1986,yes
336.4,250,above_ground,foam_glass,2015,no
135.5,300,underground,polyurethane_foam,2009,no
237.2,200,underground,polyurethane_foam,1996,no
174.2,300,above_ground,foam_glass,2023,yes
304.5,300,underground,foam_glass,2010,no
405.9,300,in_channel,mineral_wool,2000,no
186.1,100,underground,foam_glass,2002,no
455.1,150,above_ground,foam_glass,1981,yes
52.8,100,underground,foam_glass,2013,no
211.8,250,above_ground,polyurethane_foam,1990,no
245.6,300,in_channel,polyurethane_foam,2023,no
190.5,250,underground,foam_glass,1984,yes
232.0,200,underground,foam_glass,1980,no
457.4,200,above_ground,mineral_wool,2004,no
273.4,200,underground,polyurethane_foam,2012,yes
489.1,300,above_ground,foam_glass,2019,no
357.1,100,underground,mineral_wool,2010,yes
399.9,100,in_channel,polyurethane_foam,1992,no
347.0,100,in_channel,foam_glass,1989,no
86.3,200,underground,polyurethane_foam,1984,yes
418.9,150,underground,foam_glass,2005,no
453.2,100,in_channel,foam_glass,1981,no
309.7,250,in_channel,mineral_wool,1991,yes
249.9,100,above_ground,foam_glass,2018,no
133.8,300,above_ground,foam_glass,1987,yes
407.4,250,in_channel,polyurethane_foam,1987,yes
461.4,250,in_channel,foam_glass,1982,yes
429.0,200,in_channel,polyurethane_foam,2007,no
338.0,200,above_ground,polyurethane_foam,2023,no
294.2,150,above_ground,mineral_wool,2021,no
445.3,150,underground,mineral_wool,1983,yes
119.7,200,above_ground,mineral_wool,1999,yes
66.1,250,above_ground,polyurethane_foam,2022,no
204.0,100,above_ground,mineral_wool,2020,no
